Titre,Titre2,Nom,Nom2,Avis,NoteGlobale,Équilibre_vie_professionnelle_personnelle,Salaire_Avantages_sociaux,Sécurité_emploi_Évolution_carrière,Management,Culture_d'entreprise,Metier
PRICING ANALYST H/F,PRICING ANALYST H/F - Lyon (69) - Indeed.fr,Fed IT,,,,,,,,,data_analyst
Développeur sur un centre de service Digital - Lyon H/F,Développeur sur un centre de service Digital - Lyon H/F - Lyon (69) - Indeed.fr,Viveris,,,,,,,,,data_analyst
Product Data Analyst - BI - H/F,Product Data Analyst - BI - H/F - Paris (75) - Indeed.fr,Cegid,CEGID,36.0,"3,4","3,6","3,2","2,9","3,1","3,3",data_analyst
Data Analyst Digital Banking (H/F) en Stage,Data Analyst Digital Banking (H/F) en Stage - Rhône - Indeed.fr,Atos,ATOS,2.0,"3,6","3,6","3,3","3,2","3,2","3,4",data_analyst
Data Analyst / Data Visualisation Consultant (F/H),Data Analyst / Data Visualisation Consultant (F/H) - Paris (75) - Indeed.fr,Novencia,Novencia,5.0,"5,0","5,0","5,0","5,0","5,0","5,0",data_analyst
Analyste développeur Datastage - Cognos,Analyste développeur Datastage - Cognos - Lyon (69) - Indeed.fr,2s2i Solutions & Services.,,,,,,,,,data_analyst
DATA QUALITY ANALYST H/F,DATA QUALITY ANALYST H/F - Paris (75) - Indeed.fr,BNP Paribas,BNP Paribas,2.0,"3,9","3,9","3,7","3,6","3,5","3,8",data_analyst
IT Graduate program - Data Engineer (H/F),IT Graduate program - Data Engineer (H/F) - Lyon (69) - Indeed.fr,Volvo,Volvo,2.0,"4,1","4,0","4,0","3,6","3,6","3,9",data_analyst
Trading Support Analyst,Trading Support Analyst - Paris (75) - Indeed.fr,Radley James,,,,,,,,,data_analyst
Data analyst énergie (H/F) Lyon (69),Data analyst énergie (H/F) Lyon (69) - Lyon (69) - Indeed.fr,CORIANCE,,,,,,,,,data_analyst
DATA ANALYST JUNIOR,DATA ANALYST JUNIOR - Lyon (69) - Indeed.fr,Sham,SHAM,3.0,"4,3","4,3","3,3","3,0","3,7","3,7",data_analyst
Data Scientist Junior H/F,Data Scientist Junior H/F - Saint-Denis (93) - Indeed.fr,Valeo,Valeo,2.0,"4,0","3,6","3,9","3,4","3,5","3,7",data_analyst
JUNIOR DATA ANALYST F/H,JUNIOR DATA ANALYST F/H - Lyon 8e (69) - Indeed.fr,Sham,SHAM,3.0,"4,3","4,3","3,3","3,0","3,7","3,7",data_analyst
Analyste Data & Digital Media H/F,Analyste Data & Digital Media H/F - Paris (75) - Indeed.fr,Groupe Pierre & Vacances - Center Parcs,Groupe Pierre & Vacances - Center Parcs,58.0,"4,0","3,7","3,3","3,4","3,5","3,7",data_analyst
ALTERNANCE – DATA ANALYST DEBUTANT (H/F),ALTERNANCE – DATA ANALYST DEBUTANT (H/F) - Paris (75) - Indeed.fr,IA School,,,,,,,,,data_analyst
Data Analyst,Data Analyst - Paris (75) - Indeed.fr,L’olivier – assurance auto,,,,,,,,,data_analyst
Data Analyst-Data Scientist (H/F),Data Analyst-Data Scientist (H/F) - Lyon 7e (69) - Indeed.fr,Veolia,Veolia,2.0,"3,6","3,5","3,5","3,2","3,1","3,3",data_analyst
Data Analyst (H/F),Data Analyst (H/F) - 93100 Montreuil - Indeed.fr,Ubisoft,Ubisoft,190.0,"4,0","4,0","3,3","3,4","3,5","4,1",data_analyst
Data analyst énergie Lyon (69) F/H,Data analyst énergie Lyon (69) F/H - Lyon 1er (69) - Indeed.fr,CORIANCE,CORIANCE,8.0,"3,0","2,7","2,9","2,7","2,4","2,4",data_analyst
Data Analyst (H/F),Data Analyst (H/F) - Paris (75) - Indeed.fr,Greenflex,greenflex,3.0,"3,7","3,0","3,3","3,0","3,7","4,0",data_analyst
Média Trader & Data Analyst,Média Trader & Data Analyst - Lyon (69) - Indeed.fr,ADTHINK,,,,,,,,,data_analyst
Customer Data Analyst (H/F),Customer Data Analyst (H/F) - Paris (75) - Indeed.fr,Hermès,Hermès,144.0,"4,2","4,1","3,9","3,6","3,7","4,1",data_analyst
Data Analyst - H/F,Data Analyst - H/F - 69258 Lyon - Indeed.fr,Fiducial,Fiducial,203.0,"3,2","3,1","2,6","2,7","2,7","2,9",data_analyst
Stagiaire Data Analyst,Stagiaire Data Analyst - Écully (69) - Indeed.fr,Kidz Global,,,,,,,,,data_analyst
Data Analyst Qlikview/Qliksense F/H,Data Analyst Qlikview/Qliksense F/H - Paris (75) - Indeed.fr,L'AgenceRP,,,,,,,,,data_analyst
DATA ANALYST H/F,DATA ANALYST H/F - Paris (75) - Indeed.fr,SODIAAL INTERNATIONAL,,,,,,,,,data_analyst
Data Analyst (H/F) - CDI,Data Analyst (H/F) - CDI - Paris 9e (75) - Indeed.fr,TEEMO,,,,,,,,,data_analyst
Data Management- Clinical Trial Analyst (H/F),Data Management- Clinical Trial Analyst (H/F) - Marcy-l'Étoile (69) - Indeed.fr,Sanofi,Sanofi,3.0,"4,1","4,0","4,0","3,5","3,7","3,8",data_analyst
Data Analyst,Data Analyst - Paris 16e (75) - Indeed.fr,nam.R,,,,,,,,,data_analyst
Data Analyst,Data Analyst - 75008 Paris 8e - Indeed.fr,Bolden,,,,,,,,,data_analyst
STRATEGY & BUSINESS ANALYST H/F,STRATEGY & BUSINESS ANALYST H/F - Lyon (69) - Indeed.fr,Sham,SHAM,3.0,"4,3","4,3","3,3","3,0","3,7","3,7",data_analyst
Junior Data Analyst,Junior Data Analyst - Paris 2e (75) - Indeed.fr,vroom,,,,,,,,,data_analyst
Pricing analyst H/F,Pricing analyst H/F - Lyon (69) - Indeed.fr,FED FINANCE,Fed Finance,5.0,"3,2","3,5","3,5","3,0","3,0","3,5",data_analyst
Data Analyst H/F,Data Analyst H/F - 92290 Châtenay-Malabry - Indeed.fr,Verisure par Securitas Direct,Verisure par Securitas Direct,204.0,"4,0","3,3","3,8","4,0","3,8","4,0",data_analyst
Trading support analyst,Trading support analyst - Paris (75) - Indeed.fr,Radley James,,,,,,,,,data_analyst
Profil Full DevOps,Profil Full DevOps - Lyon (69) - Indeed.fr,AMETIX,AMETIX,2.0,"4,5","4,5","4,5","4,5","4,5","4,5",data_analyst
Stage : Analyste Développeur BI (H/F),Stage : Analyste Développeur BI (H/F) - Lyon (69) - Indeed.fr,CGI,CGI Group,2.0,"3,7","3,7","3,5","3,3","3,3","3,5",data_analyst
Business analyst H/F,Business analyst H/F - Paris (75) - Indeed.fr,FINALCAD,,,,,,,,,data_analyst
Media Trader et Data Analyst (CDI),Media Trader et Data Analyst (CDI) - Tassin-la-Demi-Lune (69) - Indeed.fr,ADTHINK,,,,,,,,,data_analyst
Advertising Data Analyst,Advertising Data Analyst - 75009 Paris 9e - Indeed.fr,Work4 Labs,,,,,,,,,data_analyst
Data Analyst,Data Analyst - Paris (75) - Indeed.fr,L'AgenceRP,,,,,,,,,data_analyst
Data Analyst M/F,Data Analyst M/F - Lyon (69) - Indeed.fr,Volvo Group,Volvo,2.0,"4,1","4,0","4,0","3,6","3,6","3,9",data_analyst
Data Analyst Digital Banking (H/F) en Stage,Data Analyst Digital Banking (H/F) en Stage - Lyon (69) - Indeed.fr,Atos,ATOS,2.0,"3,6","3,6","3,3","3,2","3,2","3,4",data_analyst
Game Data Analyst,Game Data Analyst - Paris (75) - Indeed.fr,Gameloft,Gameloft,67.0,"3,8","3,8","3,2","3,0","3,2","3,5",data_analyst
MEDIA TRADER & DATA ANALYST F/H,MEDIA TRADER & DATA ANALYST F/H - Lyon 1er (69) - Indeed.fr,ADTHINK MEDIA,,,,,,,,,data_analyst
CDI - Data Analyst - H/F,CDI - Data Analyst - H/F - Paris (75) - Indeed.fr,Reed Exhibitions,,,,,,,,,data_analyst
Social Data Analyst,Social Data Analyst - Paris (75) - Indeed.fr,FunFacts,,,,,,,,,data_analyst
Stage : Consultant Data & Innovation en Transport et Mobilité durable,Stage : Consultant Data & Innovation en Transport et Mobilité durable - Lyon (69) - Indeed.fr,EM Services,,,,,,,,,data_analyst
Analyste développeur Cognos / Datastage H/F,Analyste développeur Cognos / Datastage H/F - Lyon (69) - Indeed.fr,2s 2i Solutions & Services,,,,,,,,,data_analyst
DATA ANALYST - CRM & TRAFIC - CDI- F/H,DATA ANALYST - CRM & TRAFIC - CDI- F/H - Clichy (92) - Indeed.fr,Sarenza,Sarenza,20.0,"4,2","4,2","3,4","2,9","3,6","4,2",data_analyst
Growth Data Analyst,Growth Data Analyst - Paris (75) - Indeed.fr,iBanFirst,,,,,,,,,data_analyst
Growth Data Analyst | Fintech x Startup,Growth Data Analyst | Fintech x Startup - Paris 8e (75) - Indeed.fr,iBanFirst,,,,,,,,,data_analyst
STRATEGY & BUSINESS ANALYST F/H,STRATEGY & BUSINESS ANALYST F/H - Lyon 8e (69) - Indeed.fr,Sham,SHAM,3.0,"4,3","4,3","3,3","3,0","3,7","3,7",data_analyst
Stagiaire Web Data Analyst,Stagiaire Web Data Analyst - Paris (75) - Indeed.fr,Rakuten France,,,,,,,,,data_analyst
Data Analyst - Drive to web,Data Analyst - Drive to web - La Défense (92) - Indeed.fr,Dentsu Aegis Network,,,,,,,,,data_analyst
IT Graduate program - Data Engineer (H/F),IT Graduate program - Data Engineer (H/F) - Lyon (69) - Indeed.fr,Volvo Group,Volvo,2.0,"4,1","4,0","4,0","3,6","3,6","3,9",data_analyst
IT Business Analyst,IT Business Analyst - Lyon (69) - Indeed.fr,Interpol,Interpol,15.0,"4,0","4,0","4,0","3,5","3,9","4,1",data_analyst
PRICING analyste informatique H/F,PRICING analyste informatique H/F - Lyon (69) - Indeed.fr,FED IT,,,,,,,,,data_analyst
Business Analyst H/F,Business Analyst H/F - 92100 Boulogne-Billancourt - Indeed.fr,TechSell,Techsell,36.0,"3,6","3,7","3,4","3,0","3,6","3,7",data_analyst
IS Hosting Architecture Analyst,IS Hosting Architecture Analyst - Lyon (69) - Indeed.fr,Solvay,Solvay,266.0,"3,9","3,7","3,8","3,4","3,4","3,6",data_analyst
Data Analyst (H/F) / Freelance,Data Analyst (H/F) / Freelance - Lyon (69) - Indeed.fr,insitoo-it,,,,,,,,,data_analyst
BUSINESS ANALYST H/F,BUSINESS ANALYST H/F - Lyon (69) - Indeed.fr,SQLI France,SQLI,21.0,"3,4","3,6","3,0","3,4","2,9","3,4",data_analyst
Business Analyst H/F,Business Analyst H/F - 92300 Levallois-Perret - Indeed.fr,Jellysmack,Jellysmack,11.0,"4,4","4,2","4,0","4,1","4,2","4,4",data_analyst
Business Analyst F/H,Business Analyst F/H - Villeurbanne (69) - Indeed.fr,AMILTONE,,,,,,,,,data_analyst
Data Analyst,Data Analyst - Arcueil (94) - Indeed.fr,Actimage,ACTIMAGE,6.0,"3,7","4,2","3,3","3,7","3,3","3,5",data_analyst
Data Analyst H/F / Freelance,Data Analyst H/F / Freelance - Lyon (69) - Indeed.fr,DCS EASYWARE,DCS EASYWARE,17.0,"2,9","3,1","2,6","2,9","2,6","2,5",data_analyst
"Senior Project Analyst, Language Services","Senior Project Analyst, Language Services - Lyon (69) - Indeed.fr",Icon plc,ICON plc,264.0,"3,6","3,5","3,5","3,1","3,0","3,3",data_analyst
"Intern, Data Analyst","Intern, Data Analyst - Paris (75) - Indeed.fr",Aptus Health,Aptus Health,6.0,"2,7","4,2","3,8","2,3","2,2","2,7",data_analyst
