Titre,Nom,Adresse,Salaire,Contrat,Descposte,date,Metier
CONSULTANT DATA ANALYST,soft.computing,- Paris (75),,CDI,"Soft Computing est leader de la data et du digital appliqués au marketing et à l’expérience client.
Avec plus de 400 experts, nous intervenons auprès de 200 clients, majoritairement des grandes entreprises du retail, de la finance et des services, et réalisons 46 M€ de CA, dont 20% à l’international.
Au sein du pôle Marketing Services, vous intégrerez la Business Unit Data Sciences, constituée d’environ 50 personnes, qui réalisent des études statistiques et des projets de Data Sciences afin d’apporter des réponses opérationnelles aux problématiques marketing de nos clients : fidélisation, recrutement, attrition, valeur, durée de vie, appétence, satisfaction, prévision…

En tant que Consultant Data Analyst vous :
Réalisez des études statistiques (data management, reporting, scoring, segmentation, analyses de résultats d’enquêtes …) adaptées aux besoins de nos clients
Restituez les résultats au client dans le respect des engagements de qualité et de délai,
Participez au développement de nouvelles approches.
En fonction de votre expérience et de vos missions, vous pourrez évoluer vers des missions de data sciences ou vers de la gestion de projets.
Après votre formation en statistiques (minimum bac+3) vous avez acquis des expériences opérationnelles dans ce domaine.
Vous maîtrisez les méthodes statistiques standards et leurs applications opérationnelles ainsi que l’un des principaux logiciels statistiques du marché : SAS, SPSS Modeler, R, Python….
Vous avez une affinité avec le monde du service et êtes doté d’un bon relationnel.
Pour accompagner notre activité en pleine croissance, nous recherchons des personnes organisées, engagées, curieuses et motivée pour travailler en équipe.
Choisissez…
Notre management de proximité et d’accompagnement par des Managers experts
Des formations sur des sujets pointus (Machine Learning, R, Python…)
La qualité et la diversité de missions proposées (BPCE, Leclerc, PMU, EDF, Fnac…)
La possibilité d’intervenir en mission chez le client ainsi que de travailler au siège de Soft Computing pour des clients réguliers.",30+ j,data_analyst
"RESEARCH SCIENCE, SENIOR ANALYST",The NPD Group,- La Défense (92),,"Temps plein, CDI","Learn and work on meaningful initiatives with some of the best and brightest in the market research industry. The NPD Group provides the world’s most successful brands with leading market research, combining consumer and retail point-of-sale data with analytic solutions to interpret today’s market trends while anticipating tomorrow’s. In addition, we offer a career filled with innovation and growth to the forward-thinking problem solvers who join our team.
Position Overview
The NPD Group, founded in 1966, is the leading global provider of consumer and retail market research solutions for a wide range of industries. We offer consumer behaviour and point-of-sale (POS) information and industry expertise across more industries than any other market research company. Through our consumer tracking, retail tracking, special reports, custom research capabilities, and other products and services, we help our clients understand and profit from consumer and retail trends. Our data tells them who is buying, what, where, and why at the international, national, and store levels. We are headquartered in the United States, with offices and affiliates in more than a dozen locations across North America, South America, Europe and Asia. In Europe, we have offices in France, the UK, Germany, Spain and Italy.
The NPD group offers a fast-paced and exciting work environment with a collaborative and collegial culture. Please visit our website at www.npd.com.
To complement our Research Science Team and support our business growth, we are looking for an experienced (5-6y) Senior Analyst in our Research Science team,
Research Science, Senior Analyst (H/F)
Research Science Department is responsible for the development and on-going management of research methodologies, creating understanding and confidence in the research method and the data among internal and external clients in Europe. We support our commercial teams across several industries (Beauty, Sport, Toys, Foodservice), covering primarily the NPD’s consumer based tracking service, but also retail point-of-sale data services too
Within an international environment, you will be involved in our panels for our key accounts in Europe.
Your overall responsibilities will include:
You are responsible for overseeing the design & management of NPD’s European consumer tracker methodologies, from sampling to questionnaire to post-data collection. You ensure the reliability of our projection schemes, and our systems of data calibration.
You ensure that solutions are sound and aligned with our clients’ needs, while developing creative approaches which provide valued market insights to our clients.
You actively contribute to the improvement and optimization of statistical methods, you propose solutions to potential issues identified in our consumer and retail data.
You provide guidance and support to the commercial teams and external clients to ensure the best use of the data delivered.
*
Holder of a diploma equivalent Bac+5 statistics (ENSAE ENSAI, Master statistics / econometrics ...), you have an experienced profile in market research and management of a consumer panel.
You are an expert of SAS software and have a strong statistical expertise; you master the use of other statistical software (R in particular), and the MS Office package.
You understand Consumer data approach to Research methodology design and contribute to its development.
Methodical and organized, you enjoy working in project mode, working closely with international teams.
Your clear and structured communication allows you to effectively communicate complex technical projects to our sales teams, to our senior management and our external clients
English is the working language within NPD. Therefore you must be very capable of working in English in a technical and professional context. French language capability is also required.
Ideally you have experience working in an international environment.
The NPD Group, Inc. is an Affirmative Action/Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status or any other characteristic protected by law.
Job Types: Full-time, Permanent
Experience:
market research: 3 years (Required)
Education:
Master's (Preferred)",7 j,data_analyst
DATA ANALYST / DATA VISUALISATION CONSULTANT (F/H),Novencia,- Paris (75),,,"Construisons VOTRE carrière ensemble
Notre expertise repose sur 15 années d’accompagnement technique auprès de divers clients de la place parisienne. Nous comptons actuellement 35 référencements grands comptes : vente-privée.com, SeLoger, Société Générale, Natixis, Groupama, Engie, et bien d’autres.
Au moment de votre intégration, nous vous proposons plusieurs missions, dont la durée moyenne est de 1 à 3 ans. Nous vous laisserons choisir celle qui vous semble le mieux correspondre à vos attentes car nous préférons co-construire votre carrière en fonction de vos aspirations et de vos compétences.
L’éventail de projets est effectivement large, au sein de secteurs qui innovants tels que l’Energie, l’assurance la banque ou encore l’industrie pharmaceutique.
Vous serez acteur de l’innovation autour de la Data chez nos clients, la promotion de bonne pratiques et la promotion d’outils de report. La manipulation d’outils de Data Viz (Tableau, Qlickview, SAS, Power BI), la modélisation de Datawarehouse / Datamart, la résolution de problématiques de performance feront souvent partie des projets que vous pourrez appréhender.

Les particularités de notre ADN
Vous rencontrez un de nos consultants lors du second entretien pour qu’il puisse appréhender votre niveau technique. C’est également un moment privilégié au cours duquel vous pouvez poser vos questions quant à « l’expérience de Novencien ».
Faciliter la veille technique/métier de nos consultants et l’émulation est notamment une composante de cette expérience et se traduit par :
La mise en place d’un réseau social interne ;
L’organisation de 80 événements sous différents formats tels que les meet-ups (autour de sujets techniques ou fonctionnels), les workshops ;
La possibilité de faire des formations fonctionnelles et/ou techniques certifiantes.
Pour vous en dire un peu plus sur notre culture, celle-ci est empreinte de simplicité et d’un réel intérêt pour l’innovation et la technique. Les équipes RH et commerciales ont aussi une appétence pour les nouvelles technologies et comprennent le jargon technique (en tout cas une grande partie).
Chacun est responsabilisé et peut être force de proposition.

Le tout dans une Great Place to Work (classée 9ème en 2017)

S’engager en faveur du handicap c’est garantir l’égalité des chances dès le recrutement.
À compétences égales, nos postes sont ouverts aux personnes en situation de handicap.

Poste basé à Paris et Région parisienne
Contactez-nous : recrutement@novencia.com

Technologies
QlickViewTableau
Profil recherché
Vous avez réalisé votre parcours académique Bac +5 en Cycle Ingénieur ou Master II orienté Scientifique / Data Analyse / Informatique / BI.
Vous justifiez d’une expérience significative en Business Intelligence et/ou data analyse et vous maîtrisez au moins un outil de Data Viz (Tableau, Qlickview, Power BI, SAS).
Vous avez à cœur de travailler sur des outils de Data Visualisation « user friendly » et accompagner nos clients dans la prise des bonnes décisions.
Vous connaissez la chaine BI dans son ensemble.
La manipulation des bases de données n’a plus de secrets pour vous.
Votre mindset curieux, ouvert aux métiers de nos clients vous permettra d’intégrer notre communauté Smart Data et les équipes de nos clients.",30+ j,data_analyst
TRADING SUPPORT ANALYST,Radley James,- Paris (75),50 000 € - 60 000 € par an,,"This is a fantastic opportunity to join a world-leading bank in Paris!
A successful candidate will:
Support critical trading systems by modifying, maintaining and providing problem resolution to support ongoing delivery of services and/or operations.
Act as the first point of support for application incidents
Identifying and resolving functional problems
Developing and utilising tools to perform work
Reading access to Production environment
Report fixing/custom report generating
Skills required:
Knowledge of Global Markets
Technical knowledge: Perl/Shell scripting, infrastructure/ Unix/Linux; Database (Oracle/SQL/Sybase)
ITIL understanding
Exposure to Market Data Technologies
Experience in Alerting& Monitoring
If you think that you have the required skills to join a leading investment bank in Paris then get in contact with me.
Job Types: Full-time, Permanent
Salary: 50,000.00€ to 60,000.00€ /year",29 j,data_analyst
BUSINESS ANALYST H/F,Cegid,- Lyon (69),,CDD,"Vous avez une première expérience réussie sur un poste similaire qui vous a permis d'acquérir des compétences en data analyse. Vous avez déjà utilisé un logiciel de marketing automation et avez des connaissances liés aux CRM.

Vous avez une capacité d'adaptation et un fort esprit d'analyse.
Dans le cadre de ce poste, vous aurez comme missions principales :
Analyser les données et les présenter sous forme intelligible et actionnable pour les équipes opérationnelles marketing (création de ciblages de campagne, études pour l’offre, pour le pricing, etc.)
Construire et piloter les plans d’action d’amélioration de la qualité des données
Mettre à jour la base et les rapports du CRM
Mise en place de reporting divers : suivi d'opérations marketing, commerciales et offre
Réaliser l’ensemble des études assurant une aide à la décision et au pilotage de la performance marketing
Conseiller le marketing opérationnel sur ses plans d’actions par l’analyse de la donnée et notamment l’analyse prédictive
Utiliser les données issues des outils de BI, de statistiques et de datamining
Réaliser des études selon les besoins ponctuels de l’actualité
Construire des analyses/fichiers pour l’élaboration des campagnes complexes

Le ciblage optimisé des campagnes marketing issu des plans marketing et les recommandations d’enrichissement nécessaires (qualification et acquisition de données)
L’amélioration du référentiel qualitatif des données CRM (comptes et contacts) et d’offres (correction, enrichissement de l’existant)
La proposition de nouveaux modèles d’analyse et de ciblage favorisant les performances des enjeux de conquête de nouveaux clients et de développement de valeur de la base installée
L’analyse de la performance des actions marketing et commerciales en termes d’activités, de génération de leads et développement du pipeline commercial
Acteur leader de la transformation digitale des entreprises et du secteur public, Cegid améliore la performance de ses clients grâce à ses logiciels de gestion et services cloud.
Le groupe Cegid propose des solutions dans les domaines de la gestion financière, de la fiscalité et des ressources humaines, ainsi que des applications métiers destinées aux secteurs du retail, de l’industrie, du négoce, des services, de la profession comptable et du secteur public.
Portées par une politique d’innovation ambitieuse, les offres Cegid intègrent les nouveaux usages autour du cloud, de la mobilité, de l’analyse de données, de la dématérialisation, et des plateformes métiers collaboratives.
Groupe international de 2 500 collaborateurs répartis sur toute la France et dans 15 pays, Cegid compte plus de 120 000 clients et 430 000 utilisateurs, dont 150 000 en mode SaaS, et a réalisé un chiffre d’affaires de 332M€ en 2017.",30+ j,data_analyst
ANALYSTE DATA & DIGITAL MEDIA H/F,Groupe Pierre & Vacances - Center Parcs,- Paris (75),,CDI,"Métier
Fonctions support - Ventes & Marketing - Analytique
Contrat
CDI
Temps de travail
Temps complet
Intitulé du poste
Analyste Data & Digital Media H/F
Description de la mission
Orienté(e) acquisition et data-driven marketing, le Digital Média & Data Analyst participe :

1) Au reporting et au monitoring de la performance des canaux d’acquisition digitaux dans une approche Silo & multicanale, et aux recommandations stratégiques aux équipes d’acquisition. Il est le garant des données, et en assure la diffusion et la compréhension.
Piloter
Elaboration, optimisation et mise à jour des tableaux de bord (sous Tableau, Data Studio, GA360, ou autre outils de Data Viz) en collaboration avec l’ensemble des équipes eBusiness (identification des besoins, formalisation des objectifs, définition des KPI, proposition graphique)
Diffusion et formation à l’utilisation des tableaux de bord
Analyser
Suivi des performances par source de trafic
Analyse de la donnée et recommandation afin de déterminer les opportunités les plus pertinentes en vue d’améliorer la performance marketing
Réalisation d’analyses ad hoc
Analyse de l’attribution en fonction des différents canaux

2) A l’administration des comptes GA360 pour optimiser l’utilisation de la donnée par les équipes e-Business, faciliter la lecture et la compréhension des performances et l'analyse Marketing.
Création et maintenance des Objectifs, Marketing Channel Grouping, Segments,
Audiences, Modèles d’attribution
Suivi du tracking des campagnes marketing
Création de dashboards et custom reports
Formation auprès des utilisateurs finaux

3) A la mise en place de la roadmap du projet ‘Marketing Automation Data-Driven 360’, depuis la définition de use cases, d’objectifs chiffrés et de KPI de performance, et de leur pilotage et analyse des performances, en étroite collaboration avec les responsables des différents leviers, sous la direction des project leads.
optimiser
Apporter une contribution analytique et cross-canal au projet global Data
Développement de l’utilisation de la data dans les stratégies de communication
Analyse l’incrémental de revenue généré par les stratégies data-driven

Ce poste en CDI est à pourvoir dès que possible.
Localisation du poste
Localisation du poste
EUROPE, FRANCE, 75 - Paris , Paris
Critères candidat
Niveau d'études requis
Mastère ou équivalent
Niveau d'expérience requis
0 à 3 ans
Outils Informatiques
Utilisation d’Excel avancée
Etre familier avec les outils de data viz / reporting (Tableau, Data Studio, GA360 Tableaux de bord, …). Avoir au moins travailler 1x avec un outil de dataviz/ reporting.
Maitrise de Google Analytics
Un plus :
Connaissance des outils AdCentric, Bid Management & DCO : Adwords, DCM, DBM, DS, Facebook Business, CJ, Adventori,…
Compétences
Connaissances Métier
Bonne connaissance Web analytics
Connaissance des canaux du marketing digital : Search, Email, Social Media, Affiliation, …
Un plus :
Expérience sur un projet DMP
Connaissance CRM et marketing direct

Competences
Esprit d’analyse et de synthèse
Curiosité & force de proposition
Capacité de travail en équipe & aisance relationnelle
Langues
Anglais (Bonnes connaissances - Courant)",30+ j,data_analyst
PRICING ANALYST H/F,Fed IT,- Lyon (69),30 000 € - 45 000 € par an,,"Fed IT, un cabinet de recrutement spécialisé sur les métiers de l'informatique et du digital. Ici, pas de SSII/ESN, placements en directs chez les clients finaux !

Nous recherchons, pour l'un de nos clients, leader dans le domaine de la fourniture industrielle, un PRICING ANALYST H/F

Rattaché à la Direction du data management, vous prenez en charge les missions suivantes :

analyse macro du comportement prix (élasticité, dispersion, coefficient de sensibilité, clustering et segmentation),
mise en place d'une marge cible par palier d'achat sur les différentes familles des produits,
création d'indicateurs business et d'outils d'aide à la décision pour les directions achats, grands comptes, marketing,
maximisation du value pricing, scoring, définition du prix cible,
maintenance et optimisation du pricing actuel fondé sur le concept du peer-pricing,
mise en place des projets structurants autour du prix et de son image,
mise en place d'une nouvelle stratégie pricing, basée sur du pricing dynamique,
analyse des comportements consommateurs,
modélisation de données, intégration et fiabilisation,
requêtes et extraction, pilotage de tableau de bord et reporting.
De formation Bac+4/5 en gestion de données ou informatique décisionnelle, vous justifiez d'une 1ère expérience solide similaire.

A l'aise avec les outils informatiques classiques ainsi que Qlikview, Tableau software, BO, vous savez gérer un grand nombre d'informations simultanées et les modéliser.

Vous avez une grande notion du travail d'équipe, votre rigueur, volonté et implication seront vos plus grands atouts.

Rémunération attractive selon expérience. Poste en CDI accessible voiture + TCL.",26 j,data_analyst
DATA ANALYST H/F,Verisure par Securitas Direct,- Châtenay-Malabry (92),,Stage,"Intégrer notre équipe c’est être prêt à devenir un acteur de notre croissance !
Et si vous nous rejoigniez pour relever ces défis au quotidien ?
Verisure ce n’est pas simplement l’alarme de votre voisin c’est surtout :
Le n°1 en Europe du marché de la sécurité des biens et des personnes
Plus de 400 000 clients
Une entreprise avec 20% de croissance par an
Plus de 2500 collaborateurs passionnés et engagés
Plus de 75 agences en France
Notre ambition : positionner Verisure en tant qu’entreprise préférée et référente de l’alarme connectée à un service de télésurveillance auprès des Français. Cela ne sera possible qu’en positionnant nos collaborateurs au cœur de l’entreprise et en nous entourant de nouveaux talents.
Data Analyst - Stagiaire H/F
Dans une organisation matricielle, vous contribuez à l'animation et la fiabilisation du processus mensuel de production des KPI opérationnels.
En support du responsable du pôle Analyse & Reporting, vous assurez, en liaison étroite avec les départements opérationnels et financiers la publication des tableaux de bords mensuels. Vous participez activement à la définition et à l’analyse des indicateurs clés de gestion, et êtes force de proposition pour l’évolution des publications officielles mensuelles et analyses ponctuelles.
Missions Principales :
Garantir la fiabilité et l’exhaustivité des données en systématisant des méthodes de contrôle (picking, tendance, …).
Produire des analyses ponctuelles fouillées, participer à l'analyse des résultats avec les clients internes.
Apporter un support aux équipes opérationnelles dans l’élaboration de reporting d’activité.
Améliorer / automatiser les processus de production du reporting.
Réaliser des analyses / développements ponctuels pour les clients internes, dans le respect des normes et processus de productions internes définis par le pôle manager.
En école d’ingénieur ou école de commerce, vous avez une première expérience en tant que Contrôleur de Gestion / Data Analyst en entreprise.
Votre curiosité intellectuelle vous permet en permanence de perfectionner, d’automatiser les outils existants et de comprendre les problématiques métier de nos clients.
Vous avez une bonne maîtrise des outils bureautiques (pack office, VBA, SQL) et statistiques. Vous êtes à l'aise avec les techniques de résolution de problèmes et de conduite de projets.
Curiosité, rigueur, force de proposition, capacité d’analyse et d’écoute sont les qualités recherchées pour ce poste.
Anglais courant exigé, l’espagnol serait un plus.
Casier judiciaire vierge exigé.",18 j,data_analyst
MARKET ANALYST/REPORTER,Urner Barry,- Toulouse (31),,"Temps plein, CDI","Urner Barry, part of AgriBriefing, is a renowned price reporting agency based in North America which focusses on animal proteins – meat, eggs and seafood. It has an enviable client list which is a who’s who of consumer brands. As part of our expansion plans, we are now seeking a Market Analyst/Reporter to develop our coverage of the European protein markets.
This is a new, exciting role, and we are looking for a confident team player who is keen to work with colleagues in the US and Europe to help develop our market coverage.
If you are someone who is happiest when you are building trusted relationships with key people in the sector, are able to communicate with buyers and sellers in the market confidently and able to write accurately about what is happening in key market sectors, we would love to hear from you. The role will involve some overseas travel, as well as spending time on the phone and face to face talking to contacts understanding what is happening in the market and why. Ideally, you will be multi-lingual, although all reporting will be done in English.
An enthusiasm and aptitude for understanding market dynamics and being able to write clearly about what is happening is essential. If you know and understand the protein sector, even better, but it is not critical as full training will be given, including an induction period spent at the Urner Barry head office in New Jersey, USA.
JOB SUMMARY:
Reporting directly to the Editor, the Market Analyst/Reporter will be responsible for collecting, analysing, and reporting on their assigned market. The Market Analyst/Reporter will observe and understand market conditions and write their findings in our daily publications and services. The role will also require the Market Analyst/Reporter to undertake the actions necessary to initiate new coverage in new markets.
Tasks: (include, but not limited to):
Making phone calls to collect and disseminate market information
Uploading market data
Writing daily commentary
Preparing reports (including supporting data), and making convincing market presentations
Taking ownership for quality and accurateness of data sets
Maintaining and generating new industry contacts
Communicating and working closely with colleagues in other offices
Skills required:
Degree or higher; Business, Finance, Economics, Statistics or Marketing preferred
Excellent communication highlighted by strong writing samples and public speaking experience
Ability to assess market conditions and provide analysis
Creative ability and imagination; ability to work under pressure; attention to detail
Command of PC Windows and Microsoft Office
Advanced proficiency with Microsoft Excel is a must
Some travel required
Aptitude:
Smart, flexible, friendly and professional
Ability to handle criticism and constructive feedback
Good communicator
Maintain sense of urgency
Straightforward, honest, team player
Package:
The position offers a competitive salary, dependent on experience and excellent package.
Please send your CV, covering letter and examples of your work by 29th March
Job Types: Full-time, Permanent
Experience:
market analysis: 1 year (Preferred)
Education:
Bachelor's (Preferred)",5 j,data_analyst
PRICING ANALYST H/F,FED FINANCE,- Lyon (69),40 000 € - 50 000 € par an,,"Description du poste :
Fed IT, cabinet de recrutement spécialisé dans les métiers de l'IT, recrute pour son client, leader dans le monde du négoce professionnel, un PRICING ANALYST H/F.


Rattaché à la Direction du data management, vous prenez en charge les missions suivantes :

analyse macro du comportement prix (élasticité, dispersion, coefficient de sensibilité, clustering et segmentation),
mise en place d'une marge cible par palier d'achat sur les différentes familles des produits,
création d'indicateurs business et d'outils d'aide à la décision pour les directions achats, grands comptes, marketing,
maximisation du value pricing, scoring, définition du prix cible,
maintenance et optimisation du pricing actuel fondé sur le concept du peer-pricing,
mise en place des projets structurants autour du prix et de son image,
mise en place d'une nouvelle stratégie pricing, basée sur du pricing dynamique,
analyse des comportements consommateurs,
modélisation de données, intégration et fiabilisation,
requêtes et extraction, pilotage de tableau de bord et reporting.
Qualifications requises :
De formation Bac+4/5 en gestion de données ou informatique décisionnelle, vous justifiez d'une 1ère expérience solide similaire. A l'aise avec les outils informatiques classiques ainsi que Qlikview, Tableau software, BO, vous savez gérer un grand nombre d'informations simultanées et les modéliser. Vous avez une grande notion du travail d'équipe, votre rigueur, volonté et implication seront vos plus grands atouts. Rémunération attractive selon expérience. Poste en CDI accessible voiture + TCL.
Niveau d’études :
> BAC +4",30+ j,data_analyst
