Titre,Titre2,Nom,Nom2,Avis,Note Générale,Équilibre vie professionnelle / personnelle,Salaire/Avantages sociaux,Sécurité de l'emploi/Évolution de carrière,Management,Culture d'entreprise
Consultant(e) Business Intelligence MicroStrategy (H/F),Consultant(e) Business Intelligence MicroStrategy (H/F) - Paris (75) - Indeed.fr,Talan,Talan,9,"3,2","3,4","3,1","3,2","2,9","3,1"
"Chef de Projets Business Intelligence, Lyon (H/F)","Chef de Projets Business Intelligence, Lyon (H/F) - Lyon (69) - Indeed.fr",Talan,Talan,9,"3,2","3,4","3,1","3,2","2,9","3,1"
Enrichissement du reporting BI (business intelligence) de Diapason.,Enrichissement du reporting BI (business intelligence) de Diapason. - Paris (75) - Indeed.fr,MCC SAS,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chef de projets e-commerce et Business Intelligence (BI) à l’international,Chef de projets e-commerce et Business Intelligence (BI) à l’international - Lyon (69) - Indeed.fr,POINT S DEVELOPEMNT,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Développeur(euse) Base de données & Business Intelligence H/F,Développeur(euse) Base de données & Business Intelligence H/F - Boulogne-Billancourt (92) - Indeed.fr,Armatis-lc,armatis-lc,66,"2,7","2,6","2,0","2,4","2,3","2,4"
Consultant SAS - LYON (F/H),Consultant SAS - LYON (F/H) - Lyon (69) - Indeed.fr,Novencia,Novencia,5,"5,0","5,0","5,0","5,0","5,0","5,0"
Concierge / Intendant H/F,Concierge / Intendant H/F - Paris (75) - Indeed.fr,TO DO TODAY,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Business analyst H/F,Business analyst H/F - Paris (75) - Indeed.fr,FINALCAD,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Formateur National H/F,Formateur National H/F - France - Indeed.fr,TechSell,Techsell,36,"3,6","3,7","3,4","3,0","3,6","3,7"
CDI Business Developper(cv avec photo svp),CDI Business Developper(cv avec photo svp) - La Défense (92) - Indeed.fr,I LEAD CONSULTING,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Responsable BI (F/H),Responsable BI (F/H) - Lyon (69) - Indeed.fr,Fed IT,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chef de projets e-commerce et Business Intelligence (BI) à l’international,Chef de projets e-commerce et Business Intelligence (BI) à l’international - Lyon (69) - Indeed.fr,POINT S DEVELOPEMNT,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Développeur Business Intelligence H/F,Développeur Business Intelligence H/F - Paris (75) - Indeed.fr,Bouygues Energies & Services,Bouygues,320,"3,7","3,5","3,6","3,3","3,3","3,6"
Business Intelligence Analyst H/F,Business Intelligence Analyst H/F - Paris 9e (75) - Indeed.fr,TALENZ Groupe FIDORG,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Stage Business Intelligence,Stage Business Intelligence - Lyon (69) - Indeed.fr,Merck KGaA,EMD,122,"4,1","3,9","3,9","3,4","3,6","3,8"
Consultant Business Intelligence & Dataviz,Consultant Business Intelligence & Dataviz - 75001 Paris 1er - Indeed.fr,Eulidia,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Consultant Business Intelligence H/F,Consultant Business Intelligence H/F - Neuilly-sur-Seine (92) - Indeed.fr,Act-On,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RESPONSABLE BUSINESS INTELLIGENCE,RESPONSABLE BUSINESS INTELLIGENCE - Limonest (69) - Indeed.fr,ACTA,ACTA,22,"4,0","3,3","3,4","2,6","3,4","3,2"
MOA Business intelligence (H/F),MOA Business intelligence (H/F) - Paris (75) - Indeed.fr,Natixis,Natixis,357,"3,9","3,9","3,8","3,4","3,6","3,7"
H/F Consultant Business Intelligence PowerBI,H/F Consultant Business Intelligence PowerBI - Lyon (69) - Indeed.fr,Opéra,Opéra,7,"4,1","3,7","3,0","3,0","2,8","3,8"
Business Developer,Business Developer - Paris (75) - Indeed.fr,L'AgenceRP,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Consultant en business intelligence,Consultant en business intelligence - Lyon (69) - Indeed.fr,BSL Consulting,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Consultant Business Intelligence F/H,Consultant Business Intelligence F/H - Lyon 1er (69) - Indeed.fr,DTA INGENIERIE,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Business intelligence consultant,Business intelligence consultant - Paris (75) - Indeed.fr,Photobox,Photobox,56,"3,3","3,4","2,9","2,8","2,9","3,3"
Développeur Business Intelligence (H/F),Développeur Business Intelligence (H/F) - 92120 Montrouge - Indeed.fr,Ability Shared,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Responsable Business Intelligence (H/F) à Rillieux-la-Pape (69),Responsable Business Intelligence (H/F) à Rillieux-la-Pape (69) - Rillieux-la-Pape (69) - Indeed.fr,XEFI,XEFI,20,"4,2","4,3","3,8","4,1","4,0","4,2"
ALIT- BIS EUROPE- Business Intelligence (BI) Designer Hub Europe H/F,ALIT- BIS EUROPE- Business Intelligence (BI) Designer Hub Europe H/F - Paris 15e (75) - Indeed.fr,Air Liquide,Air Liquide,1,"3,8","3,7","3,7","3,3","3,4","3,6"
H/F Consultant Business Intelligence - BIGDATA,H/F Consultant Business Intelligence - BIGDATA - Lyon (69) - Indeed.fr,Opéra,Opéra,7,"4,1","3,7","3,0","3,0","2,8","3,8"
Développeur Business Intelligence Stagiaire (Power BI),Développeur Business Intelligence Stagiaire (Power BI) - Paris (75) - Indeed.fr,transatel,TRANSATEL,3,"4,3","3,3","3,3","4,3","3,7","4,3"
BUSINESS INTELLIGENCE DATA SCIENTIST F/H,BUSINESS INTELLIGENCE DATA SCIENTIST F/H - Rillieux-la-Pape (69) - Indeed.fr,VINCI energies,Vinci Energies,94,"3,9","3,7","3,7","3,6","3,6","3,9"
Consultant Microsoft BI,Consultant Microsoft BI - Paris (75) - Indeed.fr,Ucase Consulting,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Business Development Private Banking Lyon,Business Development Private Banking Lyon - Lyon (69) - Indeed.fr,Rothschild & Co,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Consultant Oracle E-Business Suite (H/F),Consultant Oracle E-Business Suite (H/F) - Paris (75) - Indeed.fr,Talan,Talan,9,"3,2","3,4","3,1","3,2","2,9","3,1"
Ingénieur développement,Ingénieur développement - Lyon 3e (69) - Indeed.fr,KINOUGARDE,Kinougarde,580,"4,2","4,3","3,3","3,5","3,9","3,9"
Expert/Architecte IBM Cognos BI (H/F),Expert/Architecte IBM Cognos BI (H/F) - Paris (75) - Indeed.fr,Talan,Talan,9,"3,2","3,4","3,1","3,2","2,9","3,1"
Responsable BI (F/H),Responsable BI (F/H) - Lyon (69) - Indeed.fr,Fed IT,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Chef de projets e-commerce et Business Intelligence (BI) à l’international,Chef de projets e-commerce et Business Intelligence (BI) à l’international - Lyon (69) - Indeed.fr,POINT S DEVELOPEMNT,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Consultant Oracle E-Business Suite (H/F),Consultant Oracle E-Business Suite (H/F) - Paris (75) - Indeed.fr,Talan,Talan,9,"3,2","3,4","3,1","3,2","2,9","3,1"
"Technical Leader – Java, Lyon (H/F)","Technical Leader – Java, Lyon (H/F) - Lyon (69) - Indeed.fr",Talan,Talan,9,"3,2","3,4","3,1","3,2","2,9","3,1"
Big Data Engineer,Big Data Engineer - Saint-Ouen (93) - Indeed.fr,GFI,GFI,108,"3,3","3,4","2,8","2,8","2,9","3,0"
"Développeur / Software Craftmanship – Java, Lyon (H/F)","Développeur / Software Craftmanship – Java, Lyon (H/F) - Lyon (69) - Indeed.fr",Talan,Talan,9,"3,2","3,4","3,1","3,2","2,9","3,1"
Investment Data Manager H/F,Investment Data Manager H/F - Saint-Denis (93) - Indeed.fr,Generali France,Generali France,150,"3,9","3,9","3,6","3,4","3,4","3,6"
Ingénieur développement,Ingénieur développement - Lyon 3e (69) - Indeed.fr,KINOUGARDE,Kinougarde,580,"4,2","4,3","3,3","3,5","3,9","3,9"
Consultant ETL (H/F),Consultant ETL (H/F) - Paris (75) - Indeed.fr,Talan,Talan,9,"3,2","3,4","3,1","3,2","2,9","3,1"
Consultant Microsoft BI,Consultant Microsoft BI - Paris (75) - Indeed.fr,Ucase Consulting,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DBA Oracle E-Business Suite (H/F),DBA Oracle E-Business Suite (H/F) - Paris (75) - Indeed.fr,Solog,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Formateur National H/F,Formateur National H/F - France - Indeed.fr,TechSell,Techsell,36,"3,6","3,7","3,4","3,0","3,6","3,7"
Consultant junior BI Paris H/F,Consultant junior BI Paris H/F - 75001 Paris 1er - Indeed.fr,Decivision,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Stage Consultant Business Intelligence (H/F),Stage Consultant Business Intelligence (H/F) - Lyon (69) - Indeed.fr,Exakis,EXAKIS,9,"3,9","3,9","3,4","3,7","3,9","3,8"
Junior business developer,Junior business developer - Paris (75) - Indeed.fr,Artefact,Artefact,3,"5,0","5,0","4,7","4,7","5,0","4,7"
Alternant - Consultant BI (H/F),Alternant - Consultant BI (H/F) - Paris (75) - Indeed.fr,Azeo Talents & Technology,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Business Analyst – G-ERP Business Intelligence,Business Analyst – G-ERP Business Intelligence - Lyon (69) - Indeed.fr,Louis Dreyfus Company,Louis Dreyfus Company,423,"4,0","3,8","3,8","3,5","3,6","3,8"
Administrateur Base de données DBA PostgreSQL,Administrateur Base de données DBA PostgreSQL - Paris (75) - Indeed.fr,Bumble-be,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Consultant Oracle E-Business Suite (H/F),Consultant Oracle E-Business Suite (H/F) - Paris (75) - Indeed.fr,Solog,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Consultant(e) Business Intelligence MicroStrategy (H/F),Consultant(e) Business Intelligence MicroStrategy (H/F) - Paris (75) - Indeed.fr,Solog,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Ingénieur Confirmé Business Intelligence (H/F),Ingénieur Confirmé Business Intelligence (H/F) - Lyon (69) - Indeed.fr,Altran,Altran,309,"3,2","3,3","2,9","2,7","2,8","2,9"
Business Analyst,Business Analyst - La Garenne-Colombes (92) - Indeed.fr,SAGE,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"Chef de Projets Business Intelligence, Lyon (H/F)","Chef de Projets Business Intelligence, Lyon (H/F) - Lyon (69) - Indeed.fr",Solog,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Consultant(e) MS BI H/F,Consultant(e) MS BI H/F - Paris (75) - Indeed.fr,ai3,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CONSULTANT BI/DECISIONNEL H/F,CONSULTANT BI/DECISIONNEL H/F - Lyon 3e (69) - Indeed.fr,ALTIVIEW,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Consultant décisionnel Business Intelligence confirmé F/H,Consultant décisionnel Business Intelligence confirmé F/H - Lyon 1er (69) - Indeed.fr,DECIVISION,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
