Titre,Titre2,Nom,Nom2,Avis,Note Générale,Équilibre vie professionnelle / personnelle,Salaire/Avantages sociaux,Sécurité de l'emploi/Évolution de carrière,Management,Culture d'entreprise
Data Scientist - LYON (F/H),Data Scientist - LYON (F/H) - Lyon (69) - Indeed.fr,Novencia,Novencia,5,"5,0","5,0","5,0","5,0","5,0","5,0"
Data Scientist (F/H),Data Scientist (F/H) - Paris (75) - Indeed.fr,Novencia,Novencia,5,"5,0","5,0","5,0","5,0","5,0","5,0"
Data Scientist Junior H/F,Data Scientist Junior H/F - Saint-Denis (93) - Indeed.fr,Valeo,Valeo,2,"4,0","3,6","3,9","3,4","3,5","3,7"
Data Scientist / Data Engineer F/H,Data Scientist / Data Engineer F/H - Bron (69) - Indeed.fr,Fives,FIVES,128,"3,2","3,1","3,1","2,8","2,8","2,9"
Data Scientist H/F,Data Scientist H/F - Paris (75) - Indeed.fr,KONEKT,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Big Data Engineer,Big Data Engineer - Saint-Ouen (93) - Indeed.fr,GFI,GFI,108,"3,3","3,4","2,8","2,8","2,9","3,0"
IT Graduate program - Data Engineer (H/F),IT Graduate program - Data Engineer (H/F) - Lyon (69) - Indeed.fr,Volvo,Volvo,2,"4,1","4,0","4,0","3,6","3,6","3,9"
DATA SCIENTIST H/F,DATA SCIENTIST H/F - Levallois-Perret (92) - Indeed.fr,BNP Paribas Personal Finance,BNP Paribas Personal Finance,96,"4,0","4,0","3,9","3,6","3,6","3,8"
Data Engineer,Data Engineer - Paris (75) - Indeed.fr,Lucky Cart,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Profil Full DevOps,Profil Full DevOps - Lyon (69) - Indeed.fr,AMETIX,AMETIX,2,"4,5","4,5","4,5","4,5","4,5","4,5"
Data Scientist H/F - Stage ou CDI (Paris),Data Scientist H/F - Stage ou CDI (Paris) - Paris (75) - Indeed.fr,UNTIENOTS,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Alternance Data Scientist H/F,Alternance Data Scientist H/F - 75020 Paris 20e - Indeed.fr,MCS GROUPE,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DATA SCIENTIST JUNIOR H/F,DATA SCIENTIST JUNIOR H/F - Paris (75) - Indeed.fr,MCS GROUPE,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DATA SCIENTIST JUNIOR,DATA SCIENTIST JUNIOR - Lyon (69) - Indeed.fr,Sham,SHAM,3,"4,3","4,3","3,3","3,0","3,7","3,7"
Data Scientist Junior (CDI),Data Scientist Junior (CDI) - Paris (75) - Indeed.fr,L'AgenceRP,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DATA SCIENTIST – LYON (F/H),DATA SCIENTIST – LYON (F/H) - Lyon (69) - Indeed.fr,L'AgenceRP,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data Scientist Junior – H/F – Stage / CDI,Data Scientist Junior – H/F – Stage / CDI - Paris (75) - Indeed.fr,Young App,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Data scientist Lyon,Data scientist Lyon - Lyon (69) - Indeed.fr,MALT,Malt,4,"3,8","3,8","4,0","3,5","3,0","3,5"
GroupM | Stagiaire Data Scientist H/F,GroupM | Stagiaire Data Scientist H/F - Paris (75) - Indeed.fr,GroupM,GroupM,99,"3,9","3,8","3,5","3,4","3,5","3,8"
BIG DATA / DATA SCIENTIST F/H,BIG DATA / DATA SCIENTIST F/H - 69100 Villeurbanne - Indeed.fr,SpeedMedia Services,,NaN,NaN,NaN,NaN,NaN,NaN,NaN
