Titre,Titre2,Nom,Nom2,Avis,Note Générale,Équilibre vie professionnelle / personnelle,Salaire/Avantages sociaux,Sécurité de l'emploi/Évolution de carrière,Management,Culture d'entreprise
PRICING ANALYST H/F,PRICING ANALYST H/F - LYON (69) - INDEED.FR,Fed IT,,,,,,,,
DÉVELOPPEUR SUR UN CENTRE DE SERVICE DIGITAL - LYON H/F,DÉVELOPPEUR SUR UN CENTRE DE SERVICE DIGITAL - LYON H/F - LYON (69) - INDEED.FR,Viveris,,,,,,,,
PRODUCT DATA ANALYST - BI - H/F,PRODUCT DATA ANALYST - BI - H/F - PARIS (75) - INDEED.FR,Cegid,CEGID,36.0,"3,4","3,6","3,2","2,9","3,1","3,3"
DATA ANALYST DIGITAL BANKING (H/F) EN STAGE,DATA ANALYST DIGITAL BANKING (H/F) EN STAGE - RHÔNE - INDEED.FR,Atos,ATOS,2.0,"3,6","3,6","3,3","3,2","3,2","3,4"
DATA ANALYST / DATA VISUALISATION CONSULTANT (F/H),DATA ANALYST / DATA VISUALISATION CONSULTANT (F/H) - PARIS (75) - INDEED.FR,Novencia,Novencia,5.0,"5,0","5,0","5,0","5,0","5,0","5,0"
ANALYSTE DÉVELOPPEUR DATASTAGE - COGNOS,ANALYSTE DÉVELOPPEUR DATASTAGE - COGNOS - LYON (69) - INDEED.FR,2s2i Solutions & Services.,,,,,,,,
DATA QUALITY ANALYST H/F,DATA QUALITY ANALYST H/F - PARIS (75) - INDEED.FR,BNP Paribas,BNP Paribas,2.0,"3,9","3,9","3,7","3,6","3,5","3,8"
IT GRADUATE PROGRAM - DATA ENGINEER (H/F),IT GRADUATE PROGRAM - DATA ENGINEER (H/F) - LYON (69) - INDEED.FR,Volvo,Volvo,2.0,"4,1","4,0","4,0","3,6","3,6","3,9"
TRADING SUPPORT ANALYST,TRADING SUPPORT ANALYST - PARIS (75) - INDEED.FR,Radley James,,,,,,,,
DATA ANALYST ÉNERGIE (H/F) LYON (69),DATA ANALYST ÉNERGIE (H/F) LYON (69) - LYON (69) - INDEED.FR,CORIANCE,,,,,,,,
DATA ANALYST JUNIOR,DATA ANALYST JUNIOR - LYON (69) - INDEED.FR,Sham,SHAM,3.0,"4,3","4,3","3,3","3,0","3,7","3,7"
DATA SCIENTIST JUNIOR H/F,DATA SCIENTIST JUNIOR H/F - SAINT-DENIS (93) - INDEED.FR,Valeo,Valeo,2.0,"4,0","3,6","3,9","3,4","3,5","3,7"
JUNIOR DATA ANALYST F/H,JUNIOR DATA ANALYST F/H - LYON 8E (69) - INDEED.FR,Sham,SHAM,3.0,"4,3","4,3","3,3","3,0","3,7","3,7"
